 WAVE HEIGHT COMPUTATIONS FOR FLOOD INSURANCE STUDIES (WHAFIS VERSION 4.0G, 08_2007)
 Executed on: Mon May 11 15:31:26 2020
 Input file:  C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.dat                                            
 Output file: C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.out                                            
                                                              header                                                                
                                                     THIS IS A 100-YEAR CASE
                                       THE FOLLOWING NON-DEFAULT WIND SPEEDS ARE BEING USED
                                            WINDIF  56.14  WINDOF  56.14  WINDVH  60.00
                                                             PART1 INPUT
          IF   1341.000      5.741      0.000      9.069      0.000      0.000      0.000      0.000      0.014      0.000
          IF   1348.000      5.840      0.000      9.069      0.000      0.000      0.000      0.000      0.039      0.000
          IF   1354.500      6.266      0.000      9.070      0.000      0.000      0.000      0.000      0.063      0.000
          IF   1361.000      6.660      0.000      9.070      0.000      0.000      0.000      0.000      0.018      0.000
          IF   1367.000      6.496      0.000      9.070      0.000      0.000      0.000      0.000     -0.063      0.000
          IF   1374.000      5.840      0.000      9.070      0.000      0.000      0.000      0.000     -0.079      0.000
          IF   1379.000      5.545      0.000      9.070      0.000      0.000      0.000      0.000     -0.035      0.000
          IF   1387.000      5.381      0.000      9.070      0.000      0.000      0.000      0.000     -0.014      0.000
          IF   1395.500      5.315      0.000      9.070      0.000      0.000      0.000      0.000     -0.010      0.000
          IF   1400.000      5.249      0.000      9.070      0.000      0.000      0.000      0.000     -0.011      0.000
          IF   1411.000      5.151      0.000      9.070      0.000      0.000      0.000      0.000     -0.027      0.000
          IF   1420.000      4.701      0.000      9.070      0.000      0.000      0.000      0.000     -0.071      0.000
          IF   1426.500      4.045      0.000      9.070      0.000      0.000      0.000      0.000     -0.030      0.000
          IF   1433.000      4.308      0.000      9.070      0.000      0.000      0.000      0.000     -0.038      0.000
          IF   1441.000      3.487      0.000      9.070      0.000      0.000      0.000      0.000     -0.058      0.000
          IF   1449.500      3.356      0.000      9.070      0.000      0.000      0.000      0.000     -0.043      0.000
          IF   1462.500      2.569      0.000      9.070      0.000      0.000      0.000      0.000     -0.036      0.000
          IF   1470.500      2.602      0.000      9.069      0.000      0.000      0.000      0.000      0.014      0.000
          IF   1484.000      2.864      0.000      9.069      0.000      0.000      0.000      0.000     -0.017      0.000
          IF   1492.000      2.241      0.000      9.069      0.000      0.000      0.000      0.000     -0.044      0.000
          IF   1506.500      1.880      0.000      9.069      0.000      0.000      0.000      0.000     -0.013      0.000
          IF   1513.000      1.978      0.000      9.069      0.000      0.000      0.000      0.000     -0.020      0.000
          OF   1609.000     -0.121      0.000      9.067      0.000      0.000      0.000      0.000     -0.022      0.000
          OF   1616.000     -0.253      0.000      9.067      0.000      0.000      0.000      0.000     -0.012      0.000
          OF   1741.000     -1.701      0.000      9.066      0.000      0.000      0.000      0.000     -0.007      0.000
          OF   1823.000     -1.714      0.000      9.065      0.000      0.000      0.000      0.000      0.000      0.000
          OF   1825.000     -1.714      0.000      9.065      0.000      0.000      0.000      0.000     -0.068      0.000
          OF   1938.000     -9.472      0.000      9.064      0.000      0.000      0.000      0.000     -0.067      0.000
