X,Y,Z,STA
 -70.6568691799,   43.0788432683, -35.8516, -2173.00
 -70.6568729166,   43.0788434327, -35.8306, -2172.00
 -70.6568766533,   43.0788435971, -35.8095, -2171.00
 -70.6568803901,   43.0788437615, -35.7885, -2170.00
 -70.6568841231,   43.0788439260, -35.7772, -2169.00
 -70.6568878598,   43.0788440904, -35.7891, -2168.00
 -70.6568915965,   43.0788442548, -35.8010, -2167.00
 -70.6568953333,   43.0788444193, -35.8128, -2166.00
 -70.6568990700,   43.0788445837, -35.8247, -2165.00
 -70.6569028067,   43.0788447481, -35.8365, -2164.00
 -70.6569065397,   43.0788449126, -35.8484, -2163.00
 -70.6569102765,   43.0788450770, -35.8602, -2162.00
 -70.6569140132,   43.0788452414, -35.8721, -2161.00
 -70.6569177499,   43.0788454059, -35.8840, -2160.00
 -70.6569214867,   43.0788455703, -35.8958, -2159.00
 -70.6569252234,   43.0788457347, -35.9077, -2158.00
 -70.6569289564,   43.0788458992, -35.9195, -2157.00
 -70.6569326931,   43.0788460636, -35.9159, -2156.00
 -70.6569364299,   43.0788462280, -35.9058, -2155.00
 -70.6569401666,   43.0788463924, -35.8958, -2154.00
 -70.6569439033,   43.0788465569, -35.8858, -2153.00
 -70.6569476401,   43.0788467213, -35.8757, -2152.00
 -70.6569513731,   43.0788468857, -35.8657, -2151.00
 -70.6569551098,   43.0788470502, -35.8556, -2150.00
 -70.6569588465,   43.0788472146, -35.8456, -2149.00
 -70.6569625833,   43.0788473790, -35.8355, -2148.00
 -70.6569663200,   43.0788475434, -35.8255, -2147.00
 -70.6569700568,   43.0788477079, -35.8154, -2146.00
 -70.6569737897,   43.0788478723, -35.8054, -2145.00
 -70.6569775265,   43.0788480367, -35.7953, -2144.00
 -70.6569812632,   43.0788482012, -35.7853, -2143.00
 -70.6569850000,   43.0788483656, -35.7753, -2142.00
 -70.6569887367,   43.0788485300, -35.7652, -2141.00
 -70.6569924734,   43.0788486944, -35.7552, -2140.00
 -70.6569962064,   43.0788488589, -35.7451, -2139.00
 -70.6569999432,   43.0788490233, -35.7351, -2138.00
 -70.6570036799,   43.0788491877, -35.7250, -2137.00
 -70.6570074166,   43.0788493521, -35.7150, -2136.00
