X,Y,Z,STA
-70.3521490100,43.4350782900,-13.9924818258,-2038.00
-70.3521502500,43.4350808800,-13.9815509497,-2037.00
-70.3521514800,43.4350834800,-13.9706583713,-2036.00
-70.3521527200,43.4350860700,-13.9597274952,-2035.00
-70.3521539500,43.4350886600,-13.9488510577,-2034.00
-70.3521551800,43.4350912500,-13.9379746202,-2033.00
-70.3521564200,43.4350938500,-13.9270276032,-2032.00
-70.3521576500,43.4350964400,-13.9161511657,-2031.00
-70.3521588800,43.4350990300,-13.9052747282,-2030.00
-70.3521601200,43.4351016200,-13.8943438521,-2029.00
-70.3521613500,43.4351042200,-13.8834512737,-2028.00
-70.3521625900,43.4351068100,-13.8725203975,-2027.00
-70.3521638200,43.4351094000,-13.8616439601,-2026.00
-70.3521650500,43.4351119900,-13.8507675226,-2025.00
-70.3521662900,43.4351145800,-13.8398366464,-2024.00
-70.3521675200,43.4351171800,-13.8289440681,-2023.00
-70.3521687600,43.4351197700,-13.8180131919,-2022.00
-70.3521699900,43.4351223600,-13.8071367545,-2021.00
-70.3521712200,43.4351249500,-13.7962603169,-2020.00
-70.3521724600,43.4351275500,-13.7853132999,-2019.00
-70.3521736900,43.4351301400,-13.7744368624,-2018.00
-70.3521749200,43.4351327300,-13.7635604250,-2017.00
-70.3521761600,43.4351353200,-13.7526295488,-2016.00
-70.3521773900,43.4351379200,-13.7417369705,-2015.00
-70.3521786300,43.4351405100,-13.7308060943,-2014.00
-70.3521798600,43.4351431000,-13.7199296567,-2013.00
-70.3521810900,43.4351456900,-13.7090532193,-2012.00
-70.3521823300,43.4351482800,-13.6981223431,-2011.00
-70.3521835600,43.4351508800,-13.6872297648,-2010.00
-70.3521848000,43.4351534700,-13.6762988886,-2009.00
-70.3521860300,43.4351560600,-13.6654224511,-2008.00
-70.3521872600,43.4351586500,-13.6545460137,-2007.00
-70.3521885000,43.4351612500,-13.6435989966,-2006.00
-70.3521897300,43.4351638400,-13.6327225591,-2005.00
-70.3521909600,43.4351664300,-13.6218461216,-2004.00
-70.3521922000,43.4351690200,-13.6109152454,-2003.00
-70.3521934300,43.4351716200,-13.6000226671,-2002.00
-70.3521946700,43.4351742100,-13.5890917910,-2001.00
-70.3521959000,43.4351768000,-13.5782153535,-2000.00
-70.3521971300,43.4351793900,-13.5673389160,-1999.00
-70.3521983700,43.4351819800,-13.5564080398,-1998.00
-70.3521996000,43.4351845800,-13.5455154615,-1997.00
-70.3522008400,43.4351871700,-13.5345845854,-1996.00
-70.3522020700,43.4351897600,-13.5237081478,-1995.00
-70.3522033000,43.4351923500,-13.5128317103,-1994.00
-70.3522045400,43.4351949500,-13.5018846933,-1993.00
-70.3522057700,43.4351975400,-13.4910082559,-1992.00
-70.3522070000,43.4352001300,-13.4801318183,-1991.00
-70.3522082400,43.4352027200,-13.4692009422,-1990.00
-70.3522094700,43.4352053200,-13.4583083638,-1989.00
-70.3522107100,43.4352079100,-13.4473774877,-1988.00
-70.3522119400,43.4352105000,-13.4365010502,-1987.00
-70.3522131700,43.4352130900,-13.4256246127,-1986.00
-70.3522144100,43.4352156800,-13.4146937365,-1985.00
-70.3522156400,43.4352182800,-13.4038011582,-1984.00
-70.3522168800,43.4352208700,-13.3928702820,-1983.00
-70.3522181100,43.4352234600,-13.3819938446,-1982.00
-70.3522193400,43.4352260500,-13.3711174070,-1981.00
-70.3522205800,43.4352286500,-13.3601703901,-1980.00
-70.3522218100,43.4352312400,-13.3492939525,-1979.00
-70.3522230400,43.4352338300,-13.3384175151,-1978.00
