X,Y,Zadcirc,STA,source
-69.96540635,43.76224305,33.7208775773388,367,interpolated ADCIRC
-69.96540989,43.76224402,33.8903858096893,368,interpolated ADCIRC
-69.96541343,43.76224498,34.0596132910737,369,interpolated ADCIRC
-69.96541698,43.76224595,34.2295234313565,370,interpolated ADCIRC
-69.96542052,43.76224692,34.3990316633354,371,interpolated ADCIRC
-69.96542406,43.76224788,34.5682591450914,372,interpolated ADCIRC
-69.96542761,43.76224885,34.7381692853742,373,interpolated ADCIRC
-69.96543115,43.76224982,34.9076775173531,374,interpolated ADCIRC
-69.9654347,43.76225078,35.0773069070414,375,interpolated ADCIRC
-69.96543824,43.76225175,35.2468151388208,376,interpolated ADCIRC
-69.96544178,43.76225272,35.4163233713707,377,interpolated ADCIRC
-69.96544533,43.76225368,35.585952760488,378,interpolated ADCIRC
-69.96544887,43.76225465,35.7554609930379,379,interpolated ADCIRC
-69.96545241,43.76225561,35.9246884742229,380,interpolated ADCIRC
-69.96545596,43.76225658,36.0945986145057,381,interpolated ADCIRC
-69.9654595,43.76225755,36.2641068464845,382,interpolated ADCIRC
-69.96546305,43.76225851,36.4337362361729,383,interpolated ADCIRC
-69.96546659,43.76225948,36.6032444685234,384,interpolated ADCIRC
-69.96547013,43.76226045,36.7727527005022,385,interpolated ADCIRC
-69.96547368,43.76226141,36.9423820901906,386,interpolated ADCIRC
-69.96547722,43.76226238,37.1118903221694,387,interpolated ADCIRC
-69.96548076,43.76226335,37.2813985545199,388,interpolated ADCIRC
-69.96548431,43.76226431,37.4510279436371,389,interpolated ADCIRC
-69.96548785,43.76226528,37.6205361761871,390,interpolated ADCIRC
-69.9654914,43.76226625,37.7904463164699,391,interpolated ADCIRC
-69.96549494,43.76226721,37.9596737976548,392,interpolated ADCIRC
-69.96549848,43.76226818,38.1291820296336,393,interpolated ADCIRC
-69.96550203,43.76226914,38.298811419322,394,interpolated ADCIRC
-69.96550557,43.76227011,38.468319651872,395,interpolated ADCIRC
-69.96550911,43.76227108,38.6378278836513,396,interpolated ADCIRC
-69.96551266,43.76227204,38.8074572733397,397,interpolated ADCIRC
-69.9655162,43.76227301,38.9769655053185,398,interpolated ADCIRC
-69.96551975,43.76227398,39.1468756456013,399,interpolated ADCIRC
-69.96552329,43.76227494,39.3161031267863,400,interpolated ADCIRC
-69.96552683,43.76227591,39.4856113593362,401,interpolated ADCIRC
-69.96553038,43.76227688,39.655521499619,402,interpolated ADCIRC
-69.96553392,43.76227784,39.8247489810034,403,interpolated ADCIRC
-69.96553747,43.76227881,39.9946591210867,404,interpolated ADCIRC
-69.96554101,43.76227978,40.1641673530656,405,interpolated ADCIRC
