X,Y,Zlidar,STA,SOURCE
-69.89927578,43.78860661,-999,611,-999
-69.8992722,43.78860572,-999,612,-999
-69.89926861,43.78860483,-999,613,-999
-69.89926503,43.78860394,-999,614,-999
-69.89926145,43.78860305,-999,615,-999
-69.89925786,43.78860216,-999,616,-999
-69.89925428,43.78860128,-999,617,-999
-69.8992507,43.78860039,-999,618,-999
-69.89924711,43.7885995,-999,619,-999
-69.89924353,43.78859861,-999,620,-999
-69.89923995,43.78859772,-999,621,-999
-69.89923636,43.78859683,-999,622,-999
-69.89923278,43.78859594,-999,623,-999
-69.8992292,43.78859505,-999,624,-999
-69.89922561,43.78859416,-999,625,-999
-69.89922203,43.78859327,-999,626,-999
-69.89921845,43.78859238,-999,627,-999
-69.89921486,43.78859149,-999,628,-999
-69.89921128,43.7885906,-999,629,-999
-69.89920769,43.78858971,-999,630,-999
-69.89920411,43.78858882,-999,631,-999
-69.89920053,43.78858793,-999,632,-999
-69.89919694,43.78858704,-999,633,-999
-69.89919336,43.78858615,-999,634,-999
-69.89918978,43.78858526,-999,635,-999
-69.89918619,43.78858437,-999,636,-999
-69.89918261,43.78858348,-999,637,-999
-69.89917903,43.78858259,-999,638,-999
-69.89917544,43.7885817,-999,639,-999
-69.89917186,43.78858081,-999,640,-999
-69.89916828,43.78857992,-999,641,-999
-69.89916469,43.78857903,-999,642,-999
-69.89916111,43.78857814,-999,643,-999
-69.89915753,43.78857725,-999,644,-999
-69.89915394,43.78857637,-999,645,-999
-69.89915036,43.78857548,-999,646,-999
-69.89914678,43.78857459,-999,647,-999
-69.89914319,43.7885737,-999,648,-999
-69.89913961,43.78857281,-999,649,-999
-69.89913603,43.78857192,-999,650,-999
-69.89913244,43.78857103,-999,651,-999
-69.89912886,43.78857014,-999,652,-999
-69.89912527,43.78856925,-999,653,-999
-69.89912169,43.78856836,-999,654,-999
-69.89911811,43.78856747,-999,655,-999
-69.89911452,43.78856658,-999,656,-999
-69.89911094,43.78856569,-999,657,-999
-69.89910736,43.7885648,-999,658,-999
-69.89910377,43.78856391,-999,659,-999
-69.89910019,43.78856302,-999,660,-999
